id|species|mother_lower_case|father_lower_case|mother_orig_case|father_orig_case
467|S.|N/A|N/A|N/A|N/A
468|S. barclayi Andersson|N/A|N/A|N/A|N/A
469|S. triandra L.|N/A|N/A|N/A|N/A
470|S. viminalis L.|N/A|N/A|N/A|N/A
471|S. triandra L.|N/A|N/A|N/A|N/A
472|S.|N/A|N/A|N/A|N/A
473|S.·×leucopithecia Kimura (S. caprea L. × S. gracilistyla Miq.)|N/A|N/A|N/A|N/A
474|S. purpurea L.|N/A|N/A|N/A|N/A
475|S. ×fragilis f. vitellina (L.) I.V. Belyaeva|N/A|N/A|N/A|N/A
476|S.|s. magnifica hemsl.|s. ×erdingeri a.kern.|S. magnifica Hemsl.|S. ×erdingeri A.Kern.
477|S.|N/A|N/A|N/A|N/A
478|S.|N/A|N/A|N/A|N/A
479|S. phylicifolia L.|N/A|N/A|N/A|N/A
480|S. alba L.|N/A|N/A|N/A|N/A
481|S.|s. magnifica hemsl.|s. muscina dode ex flod.|S. magnifica Hemsl.|S. muscina Dode ex Flod.
482|S. serpyllifolia Scop.|N/A|N/A|N/A|N/A
483|S. triandra L.|N/A|N/A|N/A|N/A
484|S.|N/A|N/A|N/A|N/A
485|S.|s. udensis trautv. & c.a.mey. (as s. sachalinensis f.schmidt)|s. miyabeana seemen|S. udensis Trautv. & C.A.Mey. (as S. sachalinensis F.Schmidt)|S. miyabeana Seemen
486|S. miyabeana Seemen|N/A|N/A|N/A|N/A
487|S.|N/A|N/A|N/A|N/A
488|S. ×fragilis L. f. fragilis|N/A|N/A|N/A|N/A
489|S.|s. hastata l. wehrhahnii|s. lanata l.|S. hastata L. ‘Wehrhahnii’|S. lanata L.
490|S.|N/A|N/A|N/A|N/A
491|S. repens L.|N/A|N/A|N/A|N/A
492|S. caprea L.|N/A|N/A|N/A|N/A
493|S.|s. caprea l.|s. phylicifolia l.|S. caprea L.|S. phylicifolia L.
494|S. eriocephala Michx.|N/A|N/A|N/A|N/A
495|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
496|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
497|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
498|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
499|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
500|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
501|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
502|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
503|S. ×rubra Huds. (S. purpurea L. × S. viminalis L.)|N/A|N/A|N/A|N/A
504|S.|s. ledebouriana trautv. f. kuraica liss.|a hybrid of s. purpurea l.|S. ledebouriana Trautv. f. kuraica Liss.|a hybrid of S. purpurea L.
505|S. ×fruticosa Döll (S. aurita L. × S. viminalis L.)|N/A|N/A|N/A|N/A
506|S. triandra L.|N/A|N/A|N/A|N/A
507|S. daphnoides Vill.|N/A|N/A|N/A|N/A
