id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,Canker
119,9,9,9,14,6,3,0,2013,U07m,1XTE04,27,NA,NA,0,0,NA,0,0
120,9,9,9,15,6,3,0,2013,U07m,1XTE04,27,NA,NA,0,0,NA,0,0
121,9,9,9,16,6,3,2.9,2013,U07m,1XTE04,27,0%,0,0.005,0.046,NA,1,0
122,9,9,9,17,6,6,4.3,2013,U07m,82XAA04,26,0%,0,0.011,0.101,NA,2,0
123,9,9,9,18,6,6,6.8,2013,U07m,82XAA04,26,25%,0.051,0.028,0.253,NA,2,0
124,9,9,9,19,6,6,6.1,2013,U07m,82XAA04,26,19%,0.032,0.023,0.203,NA,1,0
125,9,9,9,20,6,6,7,2013,U07m,82XAA04,26,11%,0.027,0.03,0.269,NA,2,0
126,9,9,9,21,6,NA,7.5,2013,U07m,NM6,NA,4%,0.013,0.034,0.306,NA,2,2
127,9,9,9,1,7,2,8.5,2013,U07m,83XAA04,31,34%,0.101,0.044,0.395,NA,2,0
128,9,9,9,2,7,2,8.1,2013,U07m,83XAA04,31,11%,0.035,0.039,0.355,NA,2,0
129,9,9,9,3,7,2,7.4,2013,U07m,83XAA04,31,30%,0.068,0.033,0.299,NA,1,0
130,9,9,9,4,7,2,8.2,2013,U07m,83XAA04,31,11%,0.035,0.041,0.367,NA,1,0
131,9,9,9,5,7,2,0,2013,U07m,2XT4E04,32,NA,NA,0,0,NA,0,0
132,9,9,9,6,7,2,0,2013,U07m,2XT4E04,32,NA,NA,0,0,NA,0,0
133,9,9,9,7,7,2,3.9,2013,U07m,2XT4E04,32,17%,0.012,0.009,0.083,NA,1,0
134,9,9,9,8,7,2,3,2013,U07m,2XT4E04,32,0%,0,0.006,0.051,NA,3,0
135,9,9,9,9,7,3,4.7,2013,U07m,17XGA04,33,0%,0,0.013,0.119,NA,2,0
136,9,9,9,10,7,3,3.9,2013,U07m,17XGA04,33,0%,0,0.009,0.083,NA,1,0
137,9,9,9,11,7,3,5.9,2013,U07m,17XGA04,33,10%,0.018,0.021,0.193,NA,2,0
138,9,9,9,12,7,3,0,2013,U07m,17XGA04,33,NA,NA,0,0,NA,0,0
139,9,9,9,13,7,3,8.9,2013,U07m,83XAA04,34,12%,0.047,0.048,0.43,NA,2,0
140,9,9,9,14,7,3,7.5,2013,U07m,83XAA04,34,9%,0.025,0.034,0.305,NA,2,0
141,9,9,9,15,7,3,8.2,2013,U07m,83XAA04,34,20%,0.06,0.04,0.364,NA,2,0
142,9,9,9,16,7,3,9.9,2013,U07m,83XAA04,34,25%,0.108,0.059,0.534,NA,2,0
143,9,9,9,17,7,6,0,2013,U07m,81XAA04,35,NA,NA,0,0,NA,0,0
144,9,9,9,18,7,6,5,2013,U07m,81XAA04,35,9%,0.011,0.015,0.136,NA,1,0
145,9,9,9,19,7,6,4.5,2013,U07m,81XAA04,35,0%,0,0.012,0.109,NA,2,0
146,9,9,9,20,7,6,8,2013,U07m,81XAA04,35,16%,0.048,0.039,0.352,NA,2,0
147,9,9,9,21,7,NA,3.3,2013,U07m,85XAA04,NA,13%,0.007,0.007,0.059,NA,1,0
148,9,9,9,1,8,2,2.4,2013,U07m,1XTE04,40,0%,0,0.003,0.031,NA,1,2
149,9,9,9,2,8,2,0,2013,U07m,1XTE04,40,NA,NA,0,0,NA,0,0
150,9,9,9,3,8,2,1.5,2013,U07m,1XTE04,40,0%,0,0.001,0.012,NA,1,0
151,9,9,9,4,8,2,2.4,2013,U07m,1XTE04,40,0%,0,0.003,0.031,NA,1,0
152,9,9,9,5,8,2,6,2013,U07m,18XAG04,39,11%,0.019,0.022,0.196,NA,1,0
153,9,9,9,6,8,2,2.6,2013,U07m,18XAG04,39,0%,0,0.004,0.037,NA,1,0
154,9,9,9,7,8,2,2.2,2013,U07m,18XAG04,39,0%,0,0.003,0.026,NA,1,0
155,9,9,9,8,8,2,5.3,2013,U07m,18XAG04,39,0%,0,0.017,0.154,NA,3,0
156,9,9,9,9,8,3,7.3,2013,U07m,82XAA04,38,20%,0.048,0.033,0.294,NA,3,0
157,9,9,9,10,8,3,5.7,2013,U07m,82XAA04,38,4%,0.006,0.02,0.177,NA,1,0
158,9,9,9,11,8,3,7.1,2013,U07m,82XAA04,38,6%,0.016,0.03,0.273,NA,2,0
