 81XAA04    | >F1 41XAA91=(A10 x A73) >F2 81XAA04=(AA3201 x AA4102)
 82XAA04    | >F1 41XAA91=(A10 x A73) >F2 82XAA04=(AA901 x AA4102)
 82XAA04    | >F1 9XAA90=(A266 x A344) >F2 82XAA04=(AA901 x AA4102)
 83XAA04    | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102)
 84XAA04    | >F1 30XAA91=(PCA2 x A57) >F2 84XAA04=(AA3001 x AA4102)
 84XAA04    | >F1 41XAA91=(A10 x A73) >F2 84XAA04=(AA3001 x AA4102)
 85XAA04    | >F1 41XAA91=(A10 x A73) >F2 85XAA04=(AA4101 x AA4102)
 86XAA10    | >F1 86XAA10=(A502 x NORTHFOX)
 87XAA10    | >F1 40XAA91=(A10 x A57) >F2 87XAA10=(40AA08 x AA4102)
 87XAA10    | >F1 41XAA91=(A10 x A73) >F2 87XAA10=(40AA08 x AA4102)
 88XAA10    | >F1 40XAA91=(A10 x A57) >F2 88XAA10=(40AA08 x EBL)
 89XAA10    | >F1 41XAA91=(A10 x A73) >F2 89XAA10=(41AA111 x EBL)
 8XAA90     | >F1 8XAA90=(A266 x PRINCE)
 8XAG91     | >F1 8XAG91=(A502 x BT016)
 8XAGA91    | >F1 8XAGA91=(FHAG x C28)
 8XBG       | >F1 1XGG91=(BT044 x BT016) >F2 8XBG=(CAG204 x GG101)
 90XAA10    | >F1 40XAA91=(A10 x A57) >F2 90XAA10=(40AA08 x NORTHFOX)
 91XAA10    | >F1 41XAA91=(A10 x A73) >F2 91XAA10=(41AA111 x NORTHFOX)
 92XAA10    | >F1 35XAA91=(PCA2 x JAMIE) >F2 92XAA10=(41AA111 x 35AA201)
 92XAA10    | >F1 41XAA91=(A10 x A73) >F2 92XAA10=(41AA111 x 35AA201)
 93XAA10    | >F1 41XAA91=(A10 x A73) >F2 93XAA10=(A502 x AA4102)
 94XAA10    | >F1 40XAA91=(A10 x A57) >F2 94XAA10=(40AA6MF x EBL)
 95XAA10    | >F1 35XAA91=(PCA2 x JAMIE) >F2 95XAA10=(40AA08 x 35AA201)
 95XAA10    | >F1 40XAA91=(A10 x A57) >F2 95XAA10=(40AA08 x 35AA201)
 96XAA10    | >F1 35XAA91=(PCA2 x JAMIE) >F2 96XAA10=(40AA6MF x 35AA201)
 96XAA10    | >F1 40XAA91=(A10 x A57) >F2 96XAA10=(40AA6MF x 35AA201)
 97XAA10    | >F1 40XAA91=(A10 x A57) >F2 97XAA10=(40AA6MF x NORTHFOX)
 98XAA10    | >F1 30XAA91=(PCA2 x A57) >F2 98XAA10=(30AA5MF x 83AA2MF)
 98XAA10    | >F1 41XAA91=(A10 x A73) >F2 83XAA04=(A502 x AA4102) >F3 98XAA10=(30AA5MF x 83AA2MF)
 99XAA10    | >F1 30XAA91=(PCA2 x A57) >F2 99XAA10=(30AA5MF x AA4102)
 99XAA10    | >F1 41XAA91=(A10 x A73) >F2 99XAA10=(30AA5MF x AA4102)
 9XAA90     | >F1 9XAA90=(A266 x A344)
 9XAG91     | >F1 9XAG91=(PCA2 x BT016)
 9XAGA91    | >F1 9XAGA91=(FHAG x PRINCE)
 9XBR       | >F1 9XAG91=(PCA2 x BT016) >F2 9XBR=(CAG204 x 9AG105)
 9XTG93     | >F1 9XTG93=(ST7 x AGMORIN)
